,Borough,hour_of_day,day_of_week,minutes_per_mile,traffic
788,Brooklyn,16,Monday,6.550543397350007,250290
789,Brooklyn,18,Sunday,5.615942028985508,294980
790,Brooklyn,18,Thursday,6.424050632911392,332810
791,Brooklyn,19,Saturday,5.814350698768506,378780
792,Brooklyn,20,Thursday,5.631786517755245,293620
793,Brooklyn,21,Sunday,5.199550309162451,259190
794,Brooklyn,22,Wednesday,5.0136612021857925,248190
975,Manhattan,0,Monday,4.429089043094107,127420
976,Manhattan,1,Friday,4.525214745679351,154180
977,Manhattan,1,Saturday,4.863945578231292,320600
978,Manhattan,1,Tuesday,4.307502061005771,61450
979,Manhattan,2,Sunday,4.626979258956359,253160
980,Manhattan,3,Saturday,4.498622247083929,161140
981,Manhattan,3,Thursday,4.202101737942915,36880
982,Manhattan,5,Friday,3.8845299145299146,55660
983,Manhattan,5,Monday,3.893403965955953,49400
984,Manhattan,10,Saturday,5.328151986183074,308150
985,Manhattan,11,Friday,6.582568807339449,309210
986,Manhattan,11,Monday,6.260162601626017,255530
987,Manhattan,11,Sunday,5.269101455700879,298560
988,Manhattan,11,Thursday,6.8023255813953485,293430
989,Manhattan,13,Wednesday,6.810344827586207,296570
990,Manhattan,16,Monday,6.318607764390896,288630
991,Manhattan,18,Sunday,5.817307692307692,372850
992,Manhattan,18,Wednesday,6.4,470690
993,Manhattan,20,Saturday,6.21185280241974,538500
994,Manhattan,21,Thursday,5.428403755868545,378410
995,Manhattan,22,Friday,5.682693875131522,493140
996,Manhattan,22,Wednesday,5.004838932669708,322430
1147,Queens,1,Sunday,4.0198488573249564,118870
1148,Queens,1,Thursday,3.8825951527564433,47220
1149,Queens,1,Wednesday,3.835688170923671,42440
1150,Queens,2,Monday,3.744972465690232,37840
1151,Queens,3,Monday,3.4730117313287563,33420
1152,Queens,4,Saturday,3.376463486857091,62080
1153,Queens,5,Saturday,3.1239092495636993,66970
1154,Queens,5,Thursday,3.1406011848273083,68200
1155,Queens,11,Tuesday,4.66903073286052,133910
1156,Queens,12,Tuesday,4.782066131656601,136680
1157,Queens,13,Saturday,4.950738916256158,174210
1158,Queens,13,Wednesday,4.952057237905864,156620
1159,Queens,15,Friday,5.424041875522139,204460
1160,Queens,16,Wednesday,5.3457943925233655,172610
1161,Queens,17,Monday,5.272883035612381,161000
1162,Queens,19,Saturday,4.758904667675474,191800
